id	color	no	cname	ename	jname	kana	kname	s_cname	s_ename	area	p_id	p_dis	n_id	n_dis												
trtc-G18		G18	南京三民	Nanjing Sanmin	南京三民	なんきんさんみん	난징 싼민			台北市松山區	trtc-G17	1.05	trtc-G19	1.34												
trtc-G19		G19	松山	Songshan	松山	まつやま	송산			台北市松山區	trtc-G18	1.34														
route	CFDB00		小碧潭支線	Xiaobitan Line	小碧潭支線																					
trtc-Gx03		G03	七張	Qizhang	七張	しちちょう	치장			新北市新店區	trtc-Gx03A	2.50														
trtc-Gx03A		G03A	小碧潭	Xiaobitan	小碧潭	しょうへきたん	샤오비탄	新店高中	Xindian High School	新北市新店區			trtc-Gx03	2.50												
route	AA753F		文湖線	Wenhu Line	文湖線																					
trtc-BR01		BR01	動物園	Taipei Zoo	動物園	どうぶつえん	동물원			台北市文山區			trtc-BR01	0.68												
trtc-BR02		BR02	木柵	Muzha	木柵	もくさく	무자			台北市文山區	trtc-BR01	0.68	trtc-BR02	0.51												
trtc-BR03		BR03	萬芳社區	Wanfang Community	万芳コミュニティ	まんほうこみゅにてぃ	완팡 단지			台北市文山區	trtc-BR02	0.51	trtc-BR03	1.14												
trtc-BR04		BR04	萬芳醫院	Wanfang Hospital	万芳病院	まんほうびょういん	완팡 병원			台北市文山區	trtc-BR03	1.14	trtc-BR04	0.76												
trtc-BR05		BR05	辛亥	Xinhai	辛亥	しんがい	신하이			台北市文山區	trtc-BR04	0.76	trtc-BR05	1.60												
trtc-BR06		BR06	麟光	Linguang	麟光	りんこう	린광			台北市大安區	trtc-BR05	1.60	trtc-BR06	0.82												
trtc-BR07		BR07	六張犁	Liuzhangli	六張犁	ろくちょうり	류장리			台北市大安區	trtc-BR06	0.82	trtc-BR07	1.14												
trtc-BR08		BR08	科技大樓	Technology Building	テクノロジービル	てくのろじーびる	테크놀로지 빌딩			台北市大安區	trtc-BR07	1.14	trtc-BR08	0.75												
trtc-BR09		BR09	大安	Daan	大安	だいあん	다안			台北市大安區	trtc-BR08	0.75	trtc-BR09	0.89												
trtc-BR10		BR10	忠孝復興	Zhongxiao Fuxing	忠孝復興	ちゅうこうふっこう	중샤오 푸싱			台北市大安區	trtc-BR09	0.89	trtc-BR10	1.27												
trtc-BR11		BR11	南京復興	Nanjing Fuxing	南京復興	なんきんふっこう	난징 푸싱			台北市松山區	trtc-BR10	1.27	trtc-BR11	0.93												
trtc-BR12		BR12	中山國中	Zhongshan Junior High School	中山中学校	なかやまちゅうがっこう	중산 중학교			台北市中山區	trtc-BR11	0.93	trtc-BR12	1.48												
